RangeFrom,RangeTo,MSC,EmployeeShare
0,3250,3000,135
3250.01,3750,3500,157.5
3750.01,4250,4000,180
4250.01,4750,4500,202.5
4750.01,5250,5000,225
5250.01,5750,5500,247.5
5750.01,6250,6000,270
6250.01,6750,6500,292.5
6750.01,7250,7000,315
7250.01,7750,7500,337.5
7750.01,8250,8000,360
8250.01,8750,8500,382.5
8750.01,9250,9000,405
9250.01,9750,9500,427.5
9750.01,10250,10000,450
10250.01,10750,10500,472.5
10750.01,11250,11000,495
11250.01,11750,11500,517.5
11750.01,12250,12000,540
12250.01,12750,12500,562.5
12750.01,13250,13000,585
13250.01,13750,13500,607.5
13750.01,14250,14000,630
14250.01,14750,14500,652.5
14750.01,15250,15000,675
15250.01,15750,15500,697.5
15750.01,16250,16000,720
16250.01,16750,16500,742.5
16750.01,17250,17000,765
17250.01,17750,17500,787.5
17750.01,18250,18000,810
18250.01,18750,18500,832.5
18750.01,19250,19000,855
19250.01,19750,19500,877.5
19750.01,20250,20000,900
20250.01,20750,20500,922.5
20750.01,21250,21000,945
21250.01,21750,21500,967.5
21750.01,22250,22000,990
22250.01,22750,22500,1012.5
22750.01,23250,23000,1035
23250.01,23750,23500,1057.5
23750.01,24250,24000,1080
24250.01,24750,24500,1102.5
24750.01,25250,25000,1125
